id,rectype,recmass,recfalltype,reclat,reclong
1,Valid,21,Fell,50.775,6.08333
2,Valid,720,Fell,56.18333,10.23333
6,Valid,107000,Fell,54.21667,-113
10,Valid,1914,Fell,16.88333,-99.9
370,Valid,780,Fell,-33.16667,-64.95
379,Valid,4239,Fell,32.1,71.8
390,Valid,910,Fell,44.83333,95.16667
392,Valid,30000,Fell,44.21667,0.61667
398,Valid,1620,Fell,-31.6,-65.23333
417,Valid,1440,Fell,-30.86667,-64.55
423,Valid,1000,Fell,16.39806,-9.57028
424,Valid,24000,Fell,19.08333,8.38333
425,Valid,,Fell,50.66667,2.33333
426,Valid,779,Fell,29.51667,35.05
427,Valid,1800,Fell,29.71667,77.95
432,Valid,3000,Fell,8.91667,8.43333
433,Valid,50000,Fell,39.91667,42.81667
446,Valid,160,Fell,24.41667,39.51667
447,Valid,700,Fell,13.66033,28.96
448,Valid,6000,Fell,44.11667,4.08333
453,Valid,2000,Fell,44.65,11.01667
454,Valid,625,Fell,2,22.66667
458,Valid,252,Fell,45.82133,6.01533
461,Valid,700,Fell,51.78333,-1.78333
462,Valid,3200,Fell,36.23333,37.13333
463,Valid,908,Fell,44.88333,8.75
465,Valid,9251,Fell,50.95,31.81667
466,Valid,228000,Fell,45.26667,10.15
2276,Valid,32000,Fell,42.53333,-85.88333
2278,Valid,2000000,Fell,26.96667,-105.31667
48915,Valid,3950,Fell,20.74575,32.41275
2284,Valid,6000,Fell,35.27333,44.21556
2290,Valid,6400,Fell,27.66667,78.25
2294,Valid,2700,Fell,26.58333,85.56667
2295,Valid,3200,Fell,44.61667,-70.75
2296,Valid,600,Fell,48.7,37.5
2298,Valid,17900,Fell,20.88333,76.86667
50693,Valid,256.8,Found,0,0
2301,Valid,,Fell,47.46667,-0.55
2302,Valid,1500,Fell,-22.96667,-44.31667
2304,Valid,6500,Fell,9.53333,39.71667
2305,Valid,2500,Fell,25.15,105.18333
2313,Valid,320,Fell,40.81056,140.78556
2318,Valid,15000,Fell,53.58333,-2.71667
2320,Valid,3200,Fell,43.86667,5.38333
2325,Valid,810,Fell,-33,-66
2329,Valid,5070,Fell,38.5,-94.3
2340,Valid,7450,Fell,-31.41667,-60.66667
2345,Valid,41,Fell,42.45,9.03333
48954,Valid,9500,Fell,31.805,-97.01
2346,Valid,1300,Fell,52.05,0.3
2353,Valid,2000,Fell,43.03333,12.55
4883,Valid,1280,Fell,25.25417,80.625
4884,Valid,94.2,Fell,20.06667,-103.66667
4885,Valid,265,Fell,34.75,-87
4888,Valid,1384.2,Fell,34.31667,-96.15
4893,Valid,800,Fell,44.38333,5.16667
4899,Valid,50000,Fell,36.16667,3.66667
4900,Valid,2000,Fell,44.33333,3.23333
4903,Valid,50000,Fell,43.08333,0.58333
4905,Valid,9330,Fell,-21.46028,-49.95083
4906,Valid,1230,Fell,46,13.5
4907,Valid,146,Fell,25,-103.5
4910,Valid,134,Fell,2.71667,32.83333
4913,Valid,2830,Fell,36.8,-108
4917,Valid,18000,Fell,48.6,38
